Numero de iteracoes: 24
Erro: 9.44707e-07
Tempo de Resolucao do Problema: 9319.47 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
1.8	0.0970419	0.0120852	0.00938175	0.00983483	0.0105393	0.011649	0.00869236	0.00982084	0.0114998	0.0141356	0.0185865	0.026608	0.015085	0.0149783	0.0121976	0.00437117	0.0013621	0.000119208	2.09426e-05	
1.82	0.0956668	0.0119718	0.00929593	0.00974718	0.0104481	0.0115513	0.00862136	0.0097423	0.0114096	0.0140262	0.0184435	0.0264031	0.014991	0.0148882	0.0121258	0.00434677	0.0013545	0.000118549	2.08266e-05	
1.84	0.0943141	0.0118591	0.00921068	0.00966005	0.0103573	0.0114541	0.00855066	0.00966404	0.0113196	0.0139171	0.0183009	0.0261985	0.0148967	0.0147976	0.0120536	0.00432215	0.00134683	0.000117883	2.07095e-05	
1.86	0.0929834	0.0117473	0.00912599	0.00957346	0.0102671	0.0113574	0.00848024	0.00958606	0.0112299	0.0138083	0.0181586	0.0259945	0.014802	0.0147066	0.0119809	0.00429734	0.0013391	0.000117211	2.05914e-05	
1.88	0.0916742	0.0116363	0.00904188	0.00948741	0.0101774	0.0112611	0.00841013	0.00950838	0.0111405	0.0136998	0.0180167	0.0257909	0.0147069	0.0146152	0.0119077	0.00427233	0.0013313	0.000116535	2.04723e-05	
1.9	0.0903862	0.0115261	0.00895834	0.0094019	0.0100881	0.0111653	0.00834033	0.00943101	0.0110514	0.0135916	0.0178752	0.0255878	0.0146116	0.0145233	0.0118342	0.00424715	0.00132346	0.000115853	2.03524e-05	
1.92	0.0891188	0.0114167	0.00887539	0.00931694	0.00999944	0.01107	0.00827085	0.00935395	0.0109627	0.0134838	0.0177341	0.0253853	0.0145159	0.0144311	0.0117604	0.0042218	0.00131556	0.000115166	2.02317e-05	
1.94	0.0878718	0.0113082	0.00879301	0.00923253	0.00991126	0.0109752	0.00820169	0.00927721	0.0108742	0.0133764	0.0175934	0.0251834	0.0144201	0.0143385	0.0116862	0.0041963	0.00130761	0.000114476	2.01102e-05	
1.96	0.0866447	0.0112004	0.00871122	0.00914868	0.00982362	0.0108809	0.00813287	0.00920081	0.0107861	0.0132693	0.0174532	0.0249821	0.014324	0.0142457	0.0116117	0.00417066	0.00129962	0.000113781	1.9988e-05	
1.98	0.0854371	0.0110935	0.00863002	0.00906538	0.0097365	0.0107871	0.00806438	0.00912475	0.0106984	0.0131626	0.0173134	0.0247815	0.0142278	0.0141526	0.0115369	0.00414488	0.00129158	0.000113082	1.98651e-05	
2	0.0842487	0.0109875	0.00854941	0.00898265	0.00964993	0.0106939	0.00799624	0.00904903	0.010611	0.0130564	0.0171742	0.0245815	0.0141314	0.0140592	0.0114619	0.00411899	0.00128351	0.00011238	1.97416e-05	
2.02	0.0830791	0.0108822	0.00846938	0.00890049	0.00956389	0.0106011	0.00792845	0.00897368	0.010524	0.0129505	0.0170355	0.0243823	0.0140349	0.0139657	0.0113867	0.00409298	0.0012754	0.000111674	1.96176e-05	
2.04	0.0819279	0.0107778	0.00838995	0.00881889	0.00947841	0.010509	0.00786101	0.00889868	0.0104374	0.0128451	0.0168973	0.0241838	0.0139383	0.0138719	0.0113113	0.00406687	0.00126727	0.000110966	1.9493e-05	
2.06	0.0807948	0.0106742	0.00831111	0.00873786	0.00939348	0.0104173	0.00779393	0.00882406	0.0103512	0.0127401	0.0167597	0.023986	0.0138417	0.013778	0.0112357	0.00404067	0.0012591	0.000110255	1.9368e-05	
2.08	0.0796794	0.0105714	0.00823286	0.00865741	0.0093091	0.0103262	0.00772722	0.0087498	0.0102654	0.0126356	0.0166226	0.0237891	0.013745	0.013684	0.01116	0.00401439	0.0012509	0.000109541	1.92425e-05	
